AAPJ,000001,9.300000,1000.000000,2024/04/13 11:28:28
AAXJ,000001,4.510000,6.000000,2024/04/13 16:47:08
AAXJ,000001,4.510000,5.000000,2024/04/14 01:24:47
AAVL,000001,1.620000,1.700000,2024/04/14 01:37:05
AAXJ,000001,4.510000,5.000000,2024/04/14 09:45:24
AAPL,000001,0.750000,1.000000,2024/04/14 14:59:30
AAXJ,000001,4.510000,5.000000,2024/04/14 16:02:18
AAXJ,000001,4.510000,5.000000,2024/04/14 17:20:33
AAXJ,000001,4.510000,5.000000,2024/04/14 17:46:49
AAXJ,000001,4.510000,5.000000,2024/04/14 17:51:40
AAXJ,000001,4.510000,5.000000,2024/04/15 10:54:11
AAXJ,000001,4.510000,5.000000,2024/04/15 11:40:56
AAXJ,000001,4.510000,5.000000,2024/04/15 11:58:40
